US 500 (Dec) >2098.0 (4:15PM)	,	19:44.7	,	39.625
US 500 (Dec) >2098.0 (4:15PM)	,	19:44.7	,	39.375
US 500 (Dec) >2098.0 (4:15PM)	,	20:11.5	,	37.75
US 500 (Dec) >2098.0 (4:15PM)	,	20:12.5	,	38.125
US 500 (Dec) >2098.0 (4:15PM)	,	20:17.6	,	38.625
US 500 (Dec) >2098.0 (4:15PM)	,	20:17.6	,	38.875
US 500 (Dec) >2098.0 (4:15PM)	,	20:17.6	,	38.25
US 500 (Dec) >2101.0 (4:15PM)	,	20:17.6	,	31.875
US 500 (Dec) >2101.0 (4:15PM)	,	20:12.5	,	31.625
US 500 (Dec) >2101.0 (4:15PM)	,	20:12.6	,	31.875
US 500 (Dec) >2101.0 (4:15PM)	,	20:11.6	,	31.625
US 500 (Dec) >2101.0 (4:15PM)	,	20:11.6	,	31.375
US 500 (Dec) >2101.0 (4:15PM)	,	19:44.7	,	33.25
US 500 (Dec) >2101.0 (4:15PM)	,	19:44.7	,	32.875
US 500 (Dec) >2101.0 (4:15PM)	,	19:38.2	,	33.25
US 500 (Dec) >2101.0 (4:15PM)	,	19:39.5	,	33.625
US 500 (Dec) >2101.0 (4:15PM)	,	20:04.1	,	32.375
US 500 (Dec) >2101.0 (4:15PM)	,	20:06.0	,	31.875
US 500 (Dec) >2101.0 (4:15PM)	,	19:04.4	,	32.875
US 500 (Dec) >2101.0 (4:15PM)	,	19:11.4	,	33.625
US 500 (Dec) >2101.0 (4:15PM)	,	19:23.9	,	32.875
US 500 (Dec) >2101.0 (4:15PM)	,	19:23.5	,	33.25
US 500 (Dec) >2101.0 (4:15PM)	,	20:47.3	,	31.375
US 500 (Dec) >2101.0 (4:15PM)	,	20:46.8	,	31.625
US 500 (Dec) >2101.0 (4:15PM)	,	20:36.4	,	31.875
US 500 (Dec) >2101.0 (4:15PM)	,	20:35.8	,	31.375
US 500 (Dec) >2101.0 (4:15PM)	,	20:35.3	,	31.625
US 500 (Dec) >2104.0 (4:15PM)	,	20:35.3	,	25.875
US 500 (Dec) >2104.0 (4:15PM)	,	20:35.8	,	25.625
US 500 (Dec) >2104.0 (4:15PM)	,	20:36.4	,	26.125
US 500 (Dec) >2104.0 (4:15PM)	,	20:46.8	,	25.875
US 500 (Dec) >2104.0 (4:15PM)	,	20:47.4	,	25.625
US 500 (Dec) >2104.0 (4:15PM)	,	19:23.5	,	27.25
US 500 (Dec) >2104.0 (4:15PM)	,	19:11.6	,	27.625
US 500 (Dec) >2104.0 (4:15PM)	,	19:04.4	,	27.125
US 500 (Dec) >2104.0 (4:15PM)	,	20:06.0	,	26.125
US 500 (Dec) >2104.0 (4:15PM)	,	20:05.6	,	26.375
US 500 (Dec) >2104.0 (4:15PM)	,	20:04.1	,	26.875
US 500 (Dec) >2104.0 (4:15PM)	,	20:04.1	,	26.625
US 500 (Dec) >2104.0 (4:15PM)	,	19:39.5	,	27.625
US 500 (Dec) >2104.0 (4:15PM)	,	19:44.6	,	27.25
US 500 (Dec) >2104.0 (4:15PM)	,	20:11.6	,	25.875
US 500 (Dec) >2104.0 (4:15PM)	,	20:11.6	,	25.625
US 500 (Dec) >2104.0 (4:15PM)	,	20:12.6	,	25.875
US 500 (Dec) >2104.0 (4:15PM)	,	20:12.6	,	26.125
US 500 (Dec) >2104.0 (4:15PM)	,	20:17.6	,	26.375
US 500 (Dec) >2104.0 (4:15PM)	,	20:17.6	,	26.625
US 500 (Dec) >2104.0 (4:15PM)	,	20:17.6	,	26.125
US 500 (Dec) >2107.0 (4:15PM)	,	20:17.6	,	20.875
US 500 (Dec) >2107.0 (4:15PM)	,	20:12.5	,	20.625
US 500 (Dec) >2107.0 (4:15PM)	,	20:12.5	,	20.875
US 500 (Dec) >2107.0 (4:15PM)	,	20:11.6	,	20.625
US 500 (Dec) >2107.0 (4:15PM)	,	20:11.6	,	20.375
US 500 (Dec) >2107.0 (4:15PM)	,	19:44.6	,	21.875
